"2007, 2012, 2017, 2022 Crosswalk for Census Industry Codes and NAICS Codes ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
9/9/2024,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data user note: ,,,,,,,,,,,,,,
"Highlighted and bolded cells indicate where there was a change to the Census industry code, a change to the Census industry description and/or a change to the NAICS code. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2007 Census Industry Code,2007 NAICS Code,2007 Census Industry Description,,2012 Census Industry Code,2012 NAICS code,2012 Census Industry Description,,2017 Census Industry Code,2017 NAICS code,2017 Census Industry Description,,2022 Census Industry Code,2022 NAICS code,2022 Census Industry Description
4270,4238,"Machinery, equipment, and supplies merchant wholesalers     ",,4270,4238,"Machinery, equipment, and supplies merchant wholesalers     ",,4270,4238,"Machinery, equipment, and supplies merchant wholesalers     ",,4270,4238,"Machinery, equipment, and supplies merchant wholesalers     "
4280,42393,Recyclable material merchant wholesalers ,,4280,42393,Recyclable material merchant wholesalers ,,4280,42393,Recyclable material merchant wholesalers ,,4280,42393,Recyclable material merchant wholesalers 
4290,4239 exc. 42393,Miscellaneous durable goods merchant wholesalers    ,,4290,4239 exc. 42393,Miscellaneous durable goods merchant wholesalers    ,,4290,4239 exc. 42393,Miscellaneous durable goods merchant wholesalers    ,,4290,4239 exc. 42393,"Miscellaneous durable goods, except recyclable material, merchant wholesalers"
4370,4241,Paper and paper products merchant wholesalers ,,4370,4241,Paper and paper products merchant wholesalers ,,4370,4241,Paper and paper products merchant wholesalers ,,4370,4241,Paper and paper product merchant wholesalers 
4380,"4242, 4246","Drugs, sundries, and chemical and allied products merchant  wholesalers ",,4380,"4242, 4246","Drugs, sundries, and chemical and allied products merchant  wholesalers ",,4380,"4242, 4246","Drugs, sundries, and chemical and allied products merchant  wholesalers ",,4380,"4242, 4246","Drugs, druggists' sundries, and chemical and allied products merchant  wholesalers "
4390,4243,"Apparel, fabrics, and notions merchant wholesalers ",,4390,4243,"Apparel, piece goods, and notions merchant wholesalers ",,4390,4243,"Apparel, piece goods, and notions merchant wholesalers ",,4390,4243,"Apparel, piece goods, and notions merchant wholesalers"
4470,4244,Groceries and related products merchant wholesalers ,,4470,4244,Grocery and related product merchant wholesalers ,,4470,4244,Grocery and related product merchant wholesalers ,,4470,4244,Grocery and related product merchant wholesalers 
4480,4245,Farm product raw materials merchant wholesalers ,,4480,4245,Farm product raw material merchant wholesalers ,,4480,4245,Farm product raw material merchant wholesalers ,,4480,4245,Farm product raw material merchant wholesalers 
4490,4247,Petroleum and petroleum products merchant wholesalers ,,4490,4247,Petroleum and petroleum products merchant wholesalers ,,4490,4247,Petroleum and petroleum products merchant wholesalers ,,4490,4247,Petroleum and petroleum products merchant wholesalers 
4560,4248,Alcoholic beverages merchant wholesalers ,,4560,4248,Alcoholic beverages merchant wholesalers ,,4560,4248,Alcoholic beverages merchant wholesalers ,,4560,4248,"Beer, wine, and distilled alcoholic beverage merchant wholesalers"
4570,42491,Farm supplies merchant wholesalers ,,4570,42491,Farm supplies merchant wholesalers ,,4570,42491,Farm supplies merchant wholesalers ,,4570,42491,Farm supplies merchant wholesalers 
4580,4249 exc. 42491,Miscellaneous  nondurable goods merchant wholesalers ,,4580,4249 exc. 42491,Miscellaneous  nondurable goods merchant wholesalers ,,4580,4249 exc. 42491,Miscellaneous nondurable goods merchant wholesalers ,,4580,4249 exc. 42491,"Miscellaneous nondurable goods merchant, except farm supplies, wholesalers "
4585,4251,Wholesale electronic markets and agents and brokers ,,4585,4251,Wholesale electronic markets and agents and brokers ,,4585,4251,Wholesale electronic markets and agents and brokers ,,4585,4251,Wholesale trade agents and brokers
4590,Part of 42,Not specified wholesale trade,,4590,Part of 42,Not specified wholesale trade,,4590,Part of 42,Not specified wholesale trade,,4590,Part of 42,Not specified wholesale trade
4670,4411,Automobile dealers ,,4670,4411,Automobile dealers ,,4670,4411,Automobile dealers ,,4670,4411,Automobile dealers 
4680,4412,Other motor vehicle dealers ,,4680,4412,Other motor vehicle dealers ,,4680,4412,Other motor vehicle dealers ,,4681,4412,Other motor vehicle dealers 
4690,4413,"Auto parts, accessories, and tire stores  ",,4690,4413,"Automotive parts, accessories, and tire stores  ",,4690,4413,"Automotive parts, accessories, and tire stores  ",,4691,4413,"Automotive parts, accessories, and tire retailers"
4770,442,Furniture and home furnishings stores ,,4770,442,Furniture and home furnishings stores ,,4770,442,Furniture and home furnishings stores ,,4771,4491,Furniture and home furnishings retailers 
4780,443111,Household appliance stores ,,4780,443141,Household appliance stores ,,4780,443141,Household appliance stores ,,4796,4492,Electronics and appliance retailers
4790,"443112, 44312","Radio, TV, and computer stores",,4795,443142,Electronics stores,,4795,443142,Electronics stores,,4796,4492,Electronics and appliance retailers
4870,4441 exc. 44413,Building material and supplies dealers  ,,4870,4441 exc. 44413,Building material and supplies dealers  ,,4870,4441 exc. 44413,Building material and supplies dealers  ,,4871,4441 exc. 44414,"Building material and supplies dealers, except hardware retailers"
4880,44413,Hardware stores ,,4880,44413,Hardware stores ,,4880,44413,Hardware stores ,,4881,44414,Hardware retailers 
4890,4442,Lawn and garden equipment and supplies stores ,,4890,4442,Lawn and garden equipment and supplies stores ,,4890,4442,Lawn and garden equipment and supplies stores ,,4891,4442,Lawn and garden equipment and supplies retailers 
4970,4451,Grocery stores ,,4970,4451,Grocery stores ,,4971,44511,Supermarkets and other grocery (except convenience) stores,,4971,44511,Supermarkets and other grocery (except convenience) retailers
,,,,,,,,4972,44512,Convenience stores,,4973,44513,Convenience retailers and vending machine operators
4980,4452,Specialty food stores,,4980,4452,Specialty food stores,,4980,4452,Specialty food stores,,4981,4452,Specialty food retailers
4990,4453,"Beer, wine, and liquor stores ",,4990,4453,"Beer, wine, and liquor stores ",,4990,4453,"Beer, wine, and liquor stores ",,4991,4453,"Beer, wine, and liquor retailers"
5070,44611,Pharmacies and drug stores ,,5070,44611,Pharmacies and drug stores ,,5070,44611,Pharmacies and drug stores ,,5071,45611,Pharmacies and drug retailers 
5080,446 exc. 44611,"Health and personal care, except drug, stores ",,5080,446 exc. 44611,"Health and personal care, except drug, stores ",,5080,446 exc. 44611,"Health and personal care, except drug, stores ",,5081,4561 exc. 45611,"Health and personal care, except pharmacies and drug, retailers "
5090,447,Gasoline stations ,,5090,447,Gasoline stations ,,5090,447,Gasoline stations ,,5090,4571,Gasoline stations 
5170,4481,Clothing stores ,,5170,4481,Clothing stores ,,5170,4481,Clothing stores ,,5171,4581,Clothing and clothing accessories retailers
5180,44821,Shoe stores ,,5180,44821,Shoe stores ,,5180,44821,Shoe stores ,,5181,4582,Shoe retailers 
5190,4483,"Jewelry, luggage, and leather goods stores ",,5190,4483,"Jewelry, luggage, and leather goods stores ",,5190,4483,"Jewelry, luggage, and leather goods stores ",,5191,4583,"Jewelry, luggage, and leather goods retailers "
5270,"44313, 45111, 45112","Sporting goods, camera, and hobby and toy stores ",,5275,"45111, 45112","Sporting goods, and hobby and toy stores ",,5275,"45111, 45112","Sporting goods, and hobby and toy stores ",,5276,"45911, 45912","Sporting goods, and hobby, toy, and game retailers"
5280,45113,"Sewing, needlework, and piece goods stores ",,5280,45113,"Sewing, needlework, and piece goods stores ",,5280,45113,"Sewing, needlework, and piece goods stores ",,5281,45913,"Sewing, needlework, and piece goods retailers "
5290,"45114, 45122",Music stores ,,5295,45114,Musical instrument and supplies stores ,,5295,45114,Musical instrument and supplies stores ,,5296,45914,Musical instrument and supplies retailers 
5370,45121,Book stores and news dealers ,,5370,45121,Book stores and news dealers ,,5370,45121,Book stores and news dealers ,,5371,45921,Book retailers and news dealers 
5380,45211,Department stores and discount stores                                    ,,5380,45211,Department stores and discount stores                                    ,,5381,45221,Department stores ,,5382,4551,Department stores
5390,4529,Miscellaneous general merchandise stores,,5390,4529,Miscellaneous general merchandise stores,,5391,4523,"General merchandise stores, including warehouse clubs and supercenters ",,5392,4552,"Warehouse clubs, supercenters, and other general merchandise retailers"
5470,4531,Retail florists,,5470,4531,Retail florists,,5470,4531,Florists,,5471,4593,Florists
5480,45321,Office supplies and stationery stores,,5480,45321,Office supplies and stationery stores,,5480,45321,Office supplies and stationery stores,,5481,45941,Office supplies and stationery retailers 
5490,4533,Used merchandise stores ,,5490,4533,Used merchandise stores ,,5490,4533,Used merchandise stores ,,5491,4595,Used merchandise retailers 
5570,45322,"Gift, novelty, and souvenir shops ",,5570,45322,"Gift, novelty, and souvenir shops ",,5570,45322,"Gift, novelty, and souvenir shops ",,5571,45942,"Gift, novelty, and souvenir retailers"
5580,4539,Miscellaneous retail stores ,,5580,4539,Miscellaneous retail stores ,,5580,4539,Miscellaneous retail stores ,,5392,4552,"Warehouse clubs, supercenters, and other general merchandise retailers"
,,,,,,,,,,,,5581,4599,Other miscellaneous retailers 
5590,454111,Electronic shopping   ,,5590,454111,Electronic shopping   ,,5593,454110,Electronic shopping and mail-order houses,,,,
5591,454112,Electronic auctions   ,,5591,454112,Electronic auctions   ,,5593,454110,Electronic shopping and mail-order houses,,,,
5592,454113,Mail order houses,,5592,454113,Mail-order houses,,5593,454110,Electronic shopping and mail-order houses,,4681,4412,Other motor vehicle dealers 
,,,,,,,,,,,,4691,4413,"Automotive parts, accessories, and tire retailers"
,,,,,,,,,,,,4871,4441 exc. 44414,"Building material and supplies dealers, except hardware retailers"
,,,,,,,,,,,,4881,44414,Hardware retailers 
,,,,,,,,,,,,4891,4442,Lawn and garden equipment and supplies retailers 
,,,,,,,,,,,,4973,44513,Convenience retailers and vending machine operators
,,,,,,,,,,,,4981,4452,Specialty food retailers
,,,,,,,,,,,,4991,4453,"Beer, wine, and liquor retailers"
,,,,,,,,,,,,4771,4491,Furniture and home furnishings retailers 
,,,,,,,,,,,,4796,4492,Electronics and appliance retailers
,,,,,,,,,,,,5382,4551,Department stores
,,,,,,,,,,,,5392,4552,"Warehouse clubs, supercenters, and other general merchandise retailers"
,,,,,,,,,,,,5071,45611,Pharmacies and drug retailers 
,,,,,,,,,,,,5081,4561 exc. 45611,"Health and personal care, except pharmacies and drug, retailers "
,,,,,,,,,,,,5171,4581,Clothing and clothing accessories retailers
,,,,,,,,,,,,5181,4582,Shoe retailers 
,,,,,,,,,,,,5191,4583,"Jewelry, luggage, and leather goods retailers "
,,,,,,,,,,,,5276,"45911, 45912","Sporting goods, and hobby, toy, and game retailers"
,,,,,,,,,,,,5281,45913,"Sewing, needlework, and piece goods retailers "
,,,,,,,,,,,,5296,45914,Musical instrument and supplies retailers 
,,,,,,,,,,,,5371,45921,Book retailers and news dealers 
,,,,,,,,,,,,5471,4593,Florists
,,,,,,,,,,,,5481,45941,Office supplies and stationery retailers 
,,,,,,,,,,,,5491,4595,Used merchandise retailers 
,,,,,,,,,,,,5571,45942,"Gift, novelty, and souvenir retailers"
,,,,,,,,,,,,5581,4599,Other miscellaneous retailers 
,,,,,,,,,,,,5791,"Part of 44, 45",Not specified retail trade
5670,4542,Vending machine operators ,,5670,4542,Vending machine operators ,,5670,4542,Vending machine operators ,,4973,44513,Convenience retailers and vending machine operators
5680,45431,Fuel dealers ,,5680,454310,Fuel dealers ,,5680,454310,Fuel dealers ,,5680,4572,Fuel dealers 
5690,45439,Other direct selling establishments,,5690,45439,Other direct selling establishments,,5690,45439,Other direct selling establishments,,4691,4413,"Automotive parts, accessories, and tire retailers"
,,,,,,,,,,,,4771,4491,Furniture and home furnishings retailers 
,,,,,,,,,,,,4796,4492,Electronics and appliance retailers
,,,,,,,,,,,,,,
,,,,,,,,,,,,4871,4441 exc. 44414,"Building material and supplies dealers, except hardware retailers"
,,,,,,,,,,,,4881,44414,Hardware retailers 
,,,,,,,,,,,,4891,4442,Lawn and garden equipment and supplies retailers 
,,,,,,,,,,,,4973,44513,Convenience retailers and vending machine operators
,,,,,,,,,,,,4981,4452,Specialty food retailers
,,,,,,,,,,,,4991,4453,"Beer, wine, and liquor retailers"
,,,,,,,,,,,,5071,45611,Pharmacies and drug retailers 
,,,,,,,,,,,,5081,4561 exc. 45611,"Health and personal care, except pharmacies and drug, retailers "
,,,,,,,,,,,,5171,4581,Clothing and clothing accessories retailers
,,,,,,,,,,,,5181,4582,Shoe retailers 
,,,,,,,,,,,,5191,4583,"Jewelry, luggage, and leather goods retailers "
,,,,,,,,,,,,5276,"45911, 45912","Sporting goods, and hobby, toy, and game retailers"
,,,,,,,,,,,,5281,45913,"Sewing, needlework, and piece goods retailers "
,,,,,,,,,,,,5296,45914,Musical instrument and supplies retailers 
,,,,,,,,,,,,5371,45921,Book retailers and news dealers 
,,,,,,,,,,,,5471,4593,Florists
,,,,,,,,,,,,5481,45941,Office supplies and stationery retailers 
,,,,,,,,,,,,5491,4595,Used merchandise retailers 
,,,,,,,,,,,,5571,45942,"Gift, novelty, and souvenir retailers"
,,,,,,,,,,,,5581,4599,Other miscellaneous retailers 
,,,,,,,,,,,,5791,"Part of 44, 45",Not specified retail trade
5790,"Part of 44, 45",Not specified retail trade,,5790,"Part of 44, 45",Not specified retail trade,,5790,"Part of 44, 45",Not specified retail trade,,5791,"Part of 44, 45",Not specified retail trade
6070,481,Air transportation ,,6070,481,Air transportation ,,6070,481,Air transportation ,,6070,481,Air transportation 
6080,482,Rail transportation ,,6080,482,Rail transportation ,,6080,482,Rail transportation ,,6080,482,Rail transportation 
6090,483,Water transportation ,,6090,483,Water transportation ,,6090,483,Water transportation ,,6090,483,Water transportation 
6170,484,Truck transportation ,,6170,484,Truck transportation ,,6170,484,Truck transportation ,,6170,484,Truck transportation 
6180,"4851, 4852, 4854, 4855, 4859 ",Bus service and urban transit ,,6180,"4851, 4852, 4854, 4855, 4859 ",Bus service and urban transit ,,6180,"4851, 4852, 4854, 4855, 4859 ",Bus service and urban transit ,,6180,"4851, 4852, 4854, 4855, 4859 ","Transit and ground passenger transportation, except taxi and limousine service"
6190,4853,Taxi and limousine service ,,6190,4853,Taxi and limousine service ,,6190,4853,Taxi and limousine service ,,6190,4853,Taxi and limousine service 
6270,486,Pipeline transportation ,,6270,486,Pipeline transportation ,,6270,486,Pipeline transportation ,,6270,486,Pipeline transportation 
6280,487,Scenic and sightseeing transportation ,,6280,487,Scenic and sightseeing transportation ,,6280,487,Scenic and sightseeing transportation ,,6280,487,Scenic and sightseeing transportation 
6290,488,Services incidental to transportation ,,6290,488,Services incidental to transportation ,,6290,488,Services incidental to transportation ,,6290,488,Support activities for transportation
6370,491,Postal Service ,,6370,491,Postal Service ,,6370,491,Postal Service ,,6370,491,Postal Service 
6380,492,Couriers and messengers ,,6380,492,Couriers and messengers ,,6380,492,Couriers and messengers ,,6380,492,Couriers and messengers 
6390,493,Warehousing and storage ,,6390,493,Warehousing and storage ,,6390,493,Warehousing and storage ,,6390,493,Warehousing and storage 
6470,51111,Newspaper publishers,,6470,51111,Newspaper publishers,,6470,51111,Newspaper publishers,,6471,51311,Newspaper publishers
6480,5111 exc. 51111 ,"Periodical, book, and directory publishers",,6480,5111 exc. 51111 ,"Periodical, book, and directory publishers",,6480,5111 exc. 51111 ,"Periodical, book, and directory publishers",,6481,5131 exc. 51311 ,"Periodical, book, and directory and mailing list, and other publishers"
6490,5112,Software publishers,,6490,5112,Software publishers,,6490,5112,Software publishers,,6490,5132,Software publishers
6570,5121,Motion pictures and video industries,,6570,5121,Motion pictures and video industries,,6570,5121,Motion pictures and video industries,,6570,5121,Motion pictures and video industries
6590,5122,Sound recording industries,,6590,5122,Sound recording industries,,6590,5122,Sound recording industries,,6590,5122,Sound recording industries
6670,515,Radio and television broadcasting and cable subscription programming,,6670,515,Radio and television broadcasting and cable subscription programming,,6670,515,Broadcasting (except internet),,6671,516,Broadcasting and content providers
6672,51913,Internet publishing and broadcasting and web search portals,,6672,51913,Internet publishing and broadcasting and web search portals,,6672,51913,Internet publishing and broadcasting and web search portals,,6471,51311,Newspaper publishers
,,,,,,,,,,,,6481,5131 exc. 51311 ,"Periodical, book, and directory and mailing list, and other publishers"
,,,,,,,,,,,,6671,516,Broadcasting and content providers
,,,,,,,,,,,,6781,51929,Web search portals and all other information services
6680,5171,Wired telecommunications carriers ,,6680,5171,Wired telecommunications carriers ,,6680,517311,Wired telecommunications carriers ,,6680,517111,Wired telecommunications carriers 
6690,517 exc. 5171,Other telecommunications services ,,6690,517 exc. 5171,Other telecommunications services ,,6690,517 exc. 517311,"Telecommunications, except wired telecommunications carriers ",,6690,517 exc. 517111,"Telecommunications, except wired telecommunications carriers "
6695,5182,"Data processing, hosting, and related services",,6695,5182,"Data processing, hosting, and related services",,6695,5182,"Data processing, hosting, and related services",,6695,5182,"Computing infrastructure providers, data processing, web hosting, and related services"
6770,51912,Libraries and archives,,6770,51912,Libraries and archives,,6770,51912,Libraries and archives,,6770,51921,Libraries and archives
6780,"5191 exc. 51912, 51913",Other information services,,6780,"5191 exc. 51912, 51913","Other information services, except libraries and archives, and internet publishing and broadcasting and web search portals",,6780,"5191 exc. 51912, 51913","Other information services, except libraries and archives, and internet publishing and broadcasting and web search portals",,6671,516,Broadcasting and content providers
,,,,,,,,,,,,6781,51929,Web search portals and all other information services
6870,"521, 52211,52219",Banking and related activities,,6870,"521, 52211,52219",Banking and related activities,,6870,"521, 52211,52219",Banking and related activities,,6871,"521, 52211","Monetary authorities-central bank, and commercial banking"
,,,,,,,,,,,,6881,"52213, 52218","Credit unions, and savings institutions and other depository credit intermediation"
6880,"52212, 52213","Savings institutions, including credit unions ",,6880,"52212, 52213","Savings institutions, including credit unions ",,6880,"52212, 52213","Savings institutions, including credit unions ",,6881,"52213, 52218","Credit unions, and savings institutions and other depository credit intermediation"
6890,"5222, 5223",Non-depository credit and related activities,,6890,"5222, 5223",Nondepository credit and related activities,,6890,"5222, 5223",Nondepository credit and related activities,,6890,"5222, 5223",Nondepository credit intermediation and related activities 
6970,"523, 525","Securities, commodities, funds, trusts, and other financial investments",,6970,"523, 525","Securities, commodities, funds, trusts, and other financial investments",,6970,"523, 525","Securities, commodities, funds, trusts, and other financial investments",,6970,"523, 525","Securities, commodities, funds, trusts, and other financial investments"
6990,524,Insurance carriers and related activities ,,6990,524,Insurance carriers and related activities ,,6991,5241,Insurance carriers,,6991,5241,Insurance carriers
,,,,,,,,6992,5242,"Agencies, brokerages, and other insurance related activities",,6992,5242,"Agencies, brokerages, and other insurance related activities"
7070,531,Real estate ,,7070,531,Real estate ,,7071,"5311, 5312","Lessors of real estate, and offices of real estate agents and brokers",,7071,"5311, 5312","Lessors of real estate, and offices of real estate agents and brokers"
,,,,,,,,7072,5313,"Real estate property managers, offices of real estate appraisers, and other activities related to real estate ",,7072,5313,Activities related to real estate
7080,5321,Automotive equipment rental and leasing ,,7080,5321,Automotive equipment rental and leasing ,,7080,5321,Automotive equipment rental and leasing ,,7080,5321,Automotive equipment rental and leasing 
7170,53223,Video tape and disk rental ,,7170,53223,Video tape and disk rental ,,7181,"53221, 532281, 532282, 532283, 532284, 532289, 5323",Other consumer goods rental,,7181,"5322, 5323","Consumer goods rental, and general rental centers"
7180,"53221, 53222, 53229, 5323",Other consumer goods rental,,7180,"53221, 53222, 53229, 5323",Other consumer goods rental,,7181,"53221, 532281, 532282, 532283, 532284, 532289, 5323",Other consumer goods rental,,,,
7190,"5324, 533","Commercial, industrial, and other intangible assets rental and leasing",,7190,"5324, 533","Commercial, industrial, and other intangible assets rental and leasing",,7190,"5324, 533","Commercial, industrial, and other intangible assets rental and leasing",,7190,"5324, 533","Commercial and industrial machinery and equipment, and nonfinancial intangible assets rental and leasing"
7270,5411,Legal services ,,7270,5411,Legal services ,,7270,5411,Legal services ,,7270,5411,Legal services 
7280,5412,"Accounting, tax preparation, bookkeeping, and payroll services",,7280,5412,"Accounting, tax preparation, bookkeeping, and payroll services",,7280,5412,"Accounting, tax preparation, bookkeeping, and payroll services",,7280,5412,"Accounting, tax preparation, bookkeeping, and payroll services"
7290,5413,"Architectural, engineering, and related services ",,7290,5413,"Architectural, engineering, and related services ",,7290,5413,"Architectural, engineering, and related services ",,7290,5413,"Architectural, engineering, and related services "
7370,5414,Specialized design services ,,7370,5414,Specialized design services ,,7370,5414,Specialized design services ,,7370,5414,Specialized design services 
7380,5415,Computer systems design and related services ,,7380,5415,Computer systems design and related services ,,7380,5415,Computer systems design and related services ,,7380,5415,Computer systems design and related services 
7390,5416,"Management, scientific, and technical consulting services",,7390,5416,"Management, scientific, and technical consulting services",,7390,5416,"Management, scientific, and technical consulting services",,7390,5416,"Management, scientific, and technical consulting services"
7460,5417,Scientific research and development services ,,7460,5417,Scientific research and development services ,,7460,5417,Scientific research and development services ,,7460,5417,Scientific research and development services 
7470,5418,Advertising and related services ,,7470,5418,"Advertising, public relations, and related services ",,7470,5418,"Advertising, public relations, and related services ",,7470,5418,"Advertising, public relations, and related services"
7480,54194,Veterinary services ,,7480,54194,Veterinary services ,,7480,54194,Veterinary services ,,7480,54194,Veterinary services 
7490,5419 exc. 54194,"Other professional, scientific, and technical services ",,7490,5419 exc. 54194,"Other professional, scientific, and technical services ",,7490,5419 exc. 54194,"Other professional, scientific, and technical services ",,7490,5419 exc. 54194,"Other professional, scientific, and technical, except veterinary, services"
7570,55,Management of companies and enterprises ,,7570,55,Management of companies and enterprises ,,7570,55,Management of companies and enterprises ,,7570,55,Management of companies and enterprises 
7580,5613,Employment services ,,7580,5613,Employment services ,,7580,5613,Employment services ,,7580,5613,Employment services 
7590,5614,Business support services ,,7590,5614,Business support services ,,7590,5614,Business support services ,,7590,5614,Business support services 
7670,5615,Travel arrangements and reservation services ,,7670,5615,Travel arrangements and reservation services ,,7670,5615,Travel arrangements and reservation services ,,7670,5615,Travel arrangements and reservation services 
7680,5616,Investigation and security services ,,7680,5616,Investigation and security services ,,7680,5616,Investigation and security services ,,7680,5616,Investigation and security services 
7690,5617 exc. 56173,Services to buildings and dwellings (except cleaning during construction and immediately after construction) ,,7690,5617 exc. 56173,Services to buildings and dwellings (except cleaning during construction and immediately after construction) ,,7690,5617 exc. 56173,Services to buildings and dwellings (except cleaning during construction and immediately after construction) ,,7690,5617 exc. 56173,"Services to buildings and dwellings, except landscaping services"
7770,56173,Landscaping services,,7770,56173,Landscaping services,,7770,56173,Landscaping services,,7770,56173,Landscaping services
7780,"5611, 5612, 5619",Other administrative and other support services ,,7780,"5611, 5612, 5619",Other administrative and other support services ,,7780,"5611, 5612, 5619",Other administrative and other support services ,,7780,"5611, 5612, 5619",Other administrative and other support services 
7790,562,Waste management and remediation services ,,7790,562,Waste management and remediation services ,,7790,562,Waste management and remediation services ,,7790,562,Waste management and remediation services 
7860,6111,Elementary and secondary schools ,,7860,6111,Elementary and secondary schools ,,7860,6111,Elementary and secondary schools ,,7860,6111,Elementary and secondary schools 
7870,"6112, 6113","Colleges and universities, including junior colleges ",,7870,"6112, 6113","Colleges, universities, and professional schools, including junior colleges ",,7870,"6112, 6113","Colleges, universities, and professional schools, including junior colleges ",,7870,"6112, 6113","Junior colleges, colleges, universities, and professional schools"
7880,"6114, 6115","Business, technical, and trade schools and training ",,7880,"6114, 6115","Business, technical, and trade schools and training ",,7880,"6114, 6115","Business, technical, and trade schools and training ",,7880,"6114, 6115","Business, trade and technical schools, and computer and management training"
7890,"6116, 6117","Other schools and instruction, and educational support services ",,7890,"6116, 6117","Other schools and instruction, and educational support services ",,7890,"6116, 6117","Other schools and instruction, and educational support services ",,7890,"6116, 6117","Other schools and instruction, and educational support services "
7970,6211,Offices of physicians ,,7970,6211,Offices of physicians ,,7970,6211,Offices of physicians ,,7970,6211,Offices of physicians 
7980,6212,Offices of dentists ,,7980,6212,Offices of dentists ,,7980,6212,Offices of dentists ,,7980,6212,Offices of dentists 
7990,62131,Offices of chiropractors ,,7990,62131,Offices of chiropractors ,,7990,62131,Offices of chiropractors ,,7990,62131,Offices of chiropractors 
8070,62132,Offices of optometrists ,,8070,62132,Offices of optometrists ,,8070,62132,Offices of optometrists ,,8070,62132,Offices of optometrists 
8080,"6213 exc. 62131, 62132",Offices of other health practitioners  ,,8080,"6213 exc. 62131, 62132",Offices of other health practitioners  ,,8080,"6213 exc. 62131, 62132",Offices of other health practitioners  ,,8080,"6213 exc. 62131, 62132",Offices of other health practitioners  
8090,6214,Outpatient care centers ,,8090,6214,Outpatient care centers ,,8090,6214,Outpatient care centers ,,8090,6214,Outpatient care centers 
8170,6216,Home health care services ,,8170,6216,Home health care services ,,8170,6216,Home health care services ,,8170,6216,Home health care services 
8180,"6215, 6219",Other health care services ,,8180,"6215, 6219",Other health care services ,,8180,"6215, 6219",Other health care services ,,8180,"6215, 6219",Other health care services 
8190,622,Hospitals ,,8190,622,Hospitals ,,8191,"6221, 6223","General medical and surgical hospitals, and specialty (except psychiatric and substance abuse) hospitals",,8191,"6221, 6223","General medical and surgical hospitals, and specialty (except psychiatric and substance abuse) hospitals"
,,,,,,,,8192,6222,Psychiatric and substance abuse hospitals,,8192,6222,Psychiatric and substance abuse hospitals
8270,6231,Nursing care facilities ,,8270,6231,Nursing care facilities (skilled nursing facilities),,8270,6231,Nursing care facilities (skilled nursing facilities),,8270,6231,Nursing care facilities (skilled nursing facilities)
8290,"6232, 6233, 6239","Residential care facilities, without nursing ",,8290,"6232, 6233, 6239","Residential care facilities, except skilled nursing facilities",,8290,"6232, 6233, 6239","Residential care facilities, except skilled nursing facilities",,8290,"6232, 6233, 6239","Residential care facilities, except skilled nursing facilities"
8370,6241,Individual and family services ,,8370,6241,Individual and family services ,,8370,6241,Individual and family services ,,8370,6241,Individual and family services 
8380,6242,"Community food and housing, and emergency services ",,8380,6242,"Community food and housing, and emergency services ",,8380,6242,"Community food and housing, and emergency services ",,8380,6242,"Community food and housing, and emergency and other relief services"
8390,6243,Vocational rehabilitation services ,,8390,6243,Vocational rehabilitation services ,,8390,6243,Vocational rehabilitation services ,,8390,6243,Vocational rehabilitation services 
8470,6244,Child day care services ,,8470,6244,Child day care services ,,8470,6244,Child day care services ,,8470,6244,Child care services 
8560,711,"Independent artists, performing arts, spectator sports, and related industries",,8560,711,"Performing arts, spectator sports, and related industries",,8561,7111,Performing arts companies ,,8561,7111,Performing arts companies 
,,,,,,,,8562,7112,Spectator sports,,8562,7112,Spectator sports
,,,,,,,,8563,"7113, 7114","Promoters of performing arts, sports, and similar events, agents and managers for artists, athletes, entertainers, and other public figures ",,8563,"7113, 7114","Promoters of performing arts, sports, and similar events, agents and managers for artists, athletes, entertainers, and other public figures "
,,,,,,,,8564,7115,"Independent artists, writers, and performers",,8564,7115,"Independent artists, writers, and performers"
8570,712,"Museums, art galleries, historical sites, and similar institutions",,8570,712,"Museums, art galleries, historical sites, and similar institutions",,8570,712,"Museums, art galleries, historical sites, and similar institutions",,8570,712,"Museums, historical sites, and similar institutions"
8580,71395,Bowling centers ,,8580,71395,Bowling centers ,,8580,71395,Bowling centers ,,8580,71395,Bowling centers 
8590,713 exc. 71395,"Other amusement, gambling, and recreation industries   ",,8590,713 exc. 71395,"Other amusement, gambling, and recreation industries   ",,8590,713 exc. 71395,"Other amusement, gambling, and recreation industries   ",,8590,713 exc. 71395,"Other amusement, gambling, and recreation industries   "
8660,7211,Traveler accommodation ,,8660,7211,Traveler accommodation ,,8660,7211,Traveler accommodation ,,8660,7211,Traveler accommodation 
8670,"7212, 7213","Recreational vehicle parks and camps, and rooming and boarding houses",,8670,"7212, 7213","Recreational vehicle parks and camps, and rooming and boarding houses",,8670,"7212, 7213","Recreational vehicle parks and camps, and rooming and boarding houses, dormitories, and workers' camps",,8670,"7212, 7213","Recreational vehicle parks and camps, and rooming and boarding houses, dormitories, and workers' camps"
