"2007, 2012, 2017, 2022 Crosswalk for Census Industry Codes and NAICS Codes ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
9/9/2024,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data user note: ,,,,,,,,,,,,,,
"Highlighted and bolded cells indicate where there was a change to the Census industry code, a change to the Census industry description and/or a change to the NAICS code. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2007 Census Industry Code,2007 NAICS Code,2007 Census Industry Description,,2012 Census Industry Code,2012 NAICS code,2012 Census Industry Description,,2017 Census Industry Code,2017 NAICS code,2017 Census Industry Description,,2022 Census Industry Code,2022 NAICS code,2022 Census Industry Description
1480,3132 exc. 31324,"Fabric mills, except knitting mills",,1480,3132 exc. 31324,"Fabric mills, except knitting mills",,1480,3132 exc. 31324,"Fabric mills, except knitting mills",,1480,3132 exc. 31324,"Fabric mills, except knit fabric mills"
1490,3133,Textile and fabric finishing and fabric coating mills ,,1490,3133,Textile and fabric finishing and fabric coating mills ,,1490,3133,Textile and fabric finishing and fabric coating mills ,,1490,3133,Textile and fabric finishing and fabric coating mills 
1570,31411,Carpet and rug mills,,1570,31411,Carpet and rug mills,,1570,31411,Carpet and rug mills,,1570,31411,Carpet and rug mills
1590,314 exc. 31411,"Textile product mills, except carpet and rug",,1590,314 exc. 31411,"Textile product mills, except carpet and rug",,1590,314 exc. 31411,"Textile product mills, except carpet and rug",,1590,314 exc. 31411,"Textile product mills, except carpet and rug"
1670,"31324, 3151","Knitting fabric mills, and apparel knitting mills ",,1670,"31324, 3151","Knitting fabric mills, and apparel knitting mills ",,1670,"31324, 3151","Knitting fabric mills, and apparel knitting mills ",,1670,"31324, 3151","Knit fabric mills, and apparel knitting mills "
1680,3152,Cut and sew apparel manufacturing,,1680,3152,Cut and sew apparel manufacturing,,1691,"3152, 3159","Cut and sew, and apparel accessories and other apparel manufacturing",,1691,"3152, 3159","Cut and sew, and apparel accessories and other apparel manufacturing"
1690,3159,Apparel accessories and other apparel manufacturing,,1690,3159,Apparel accessories and other apparel manufacturing,,1691,"3152, 3159","Cut and sew, and apparel accessories and other apparel manufacturing",,,,
1770,3162,Footwear manufacturing,,1770,3162,Footwear manufacturing,,1770,3162,Footwear manufacturing,,1770,3162,Footwear manufacturing
1790,"3161, 3169",Leather tanning and finishing and other allied products manufacturing,,1790,"3161, 3169",Leather tanning and finishing and other allied products manufacturing,,1790,"3161, 3169","Leather and hide tanning and finishing, and other leather and allied product manufacturing",,1790,"3161, 3169","Leather and hide tanning and finishing, and other leather and allied product manufacturing"
1870,3221,"Pulp, paper, and paperboard mills ",,1870,3221,"Pulp, paper, and paperboard mills ",,1870,3221,"Pulp, paper, and paperboard mills ",,1870,3221,"Pulp, paper, and paperboard mills "
1880,32221,Paperboard containers and boxes ,,1880,32221,Paperboard container manufacturing,,1880,32221,Paperboard container manufacturing,,1880,32221,Paperboard container manufacturing
1890,"32222,32223, 32229",Miscellaneous paper and pulp products  ,,1890,"32222,32223, 32229",Miscellaneous paper and pulp products  ,,1890,"32222,32223, 32229",Miscellaneous paper and pulp products  ,,1890,"32222,32223, 32229",Miscellaneous paper and pulp products manufacturing
1990,3231,Printing and related support activities ,,1990,3231,Printing and related support activities ,,1990,3231,Printing and related support activities ,,1990,3231,Printing and related support activities 
2070,32411,Petroleum refining ,,2070,32411,Petroleum refining ,,2070,32411,Petroleum refining ,,2070,32411,Petroleum refineries
2090,"32412, 32419 ",Miscellaneous petroleum and coal products,,2090,"32412, 32419",Miscellaneous petroleum and coal products ,,2090,"32412, 32419",Miscellaneous petroleum and coal products ,,2090,"32412, 32419","Petroleum and coal products manufacturing, except petroleum refineries"
2170,3252,"Resin, synthetic rubber, and fibers and filaments manufacturing   ",,2170,3252,"Resin, synthetic rubber, and fibers and filaments manufacturing   ",,2170,3252,"Resin, synthetic rubber, and fibers and filaments manufacturing   ",,2170,3252,"Resin, synthetic rubber, and artificial and synthetic fibers and filaments manufacturing"
2180,3253,Agricultural chemical manufacturing  ,,2180,3253,Agricultural chemical manufacturing  ,,2180,3253,Agricultural chemical manufacturing  ,,2180,3253,"Pesticide, fertilizer, and other agricultural chemical manufacturing"
2190,3254,Pharmaceutical and medicine manufacturing,,2190,3254,Pharmaceutical and medicine manufacturing,,2190,3254,Pharmaceutical and medicine manufacturing,,2190,3254,Pharmaceutical and medicine manufacturing
2270,3255,"Paint, coating, and adhesive manufacturing ",,2270,3255,"Paint, coating, and adhesive manufacturing ",,2270,3255,"Paint, coating, and adhesive manufacturing ",,2270,3255,"Paint, coating, and adhesive manufacturing "
2280,3256,"Soap, cleaning compound, and cosmetics manufacturing ",,2280,3256,"Soap, cleaning compound, and cosmetics manufacturing ",,2280,3256,"Soap, cleaning compound, and cosmetics manufacturing ",,2280,3256,"Soap, cleaning compound, and toilet preparation manufacturing"
2290,"3251, 3259",Industrial and miscellaneous chemicals ,,2290,"3251, 3259",Industrial and miscellaneous chemicals ,,2290,"3251, 3259",Industrial and miscellaneous chemicals ,,2290,"3251, 3259","Basic chemical manufacturing, and other chemical product and preparation manufacturing"
2370,3261,Plastics product manufacturing ,,2370,3261,Plastics product manufacturing ,,2370,3261,Plastics product manufacturing ,,2370,3261,Plastics product manufacturing 
2380,32621,Tire manufacturing ,,2380,32621,Tire manufacturing ,,2380,32621,Tire manufacturing ,,2380,32621,Tire manufacturing 
2390,"32622, 32629","Rubber products, except tires, manufacturing ",,2390,"32622, 32629","Rubber products, except tires, manufacturing ",,2390,"32622, 32629","Rubber products, except tires, manufacturing ",,2390,"32622, 32629","Rubber products, except tires, manufacturing "
2470,32711,"Pottery, ceramics, and plumbing fixture manufacturing  ",,2470,32711,"Pottery, ceramics, and plumbing fixture manufacturing  ",,2470,32711,"Pottery, ceramics, and plumbing fixture manufacturing  ",,2470,32711,"Pottery, ceramics, and plumbing fixture manufacturing  "
2480,32712,Structural clay product manufacturing ,,2480,32712,Clay building material and refractories manufacturing,,2480,327120,Clay building material and refractories manufacturing,,2480,32712,Clay building material and refractories manufacturing
2490,3272,Glass and glass product manufacturing ,,2490,3272,Glass and glass product manufacturing ,,2490,3272,Glass and glass product manufacturing ,,2490,3272,Glass and glass product manufacturing 
2570,"3273, 3274","Cement, concrete, lime, and gypsum product manufacturing ",,2570,"3273, 3274","Cement, concrete, lime, and gypsum product manufacturing ",,2570,"3273, 3274","Cement, concrete, lime, and gypsum product manufacturing ",,2570,"3273, 3274","Cement, concrete, lime, and gypsum product manufacturing "
2590,3279,Miscellaneous nonmetallic mineral product manufacturing ,,2590,3279,Miscellaneous nonmetallic mineral product manufacturing ,,2590,3279,Miscellaneous nonmetallic mineral product manufacturing ,,2590,3279,Other nonmetallic mineral product manufacturing 
2670,"3311, 3312",Iron and steel mills and steel product manufacturing  ,,2670,"3311, 3312",Iron and steel mills and steel product manufacturing  ,,2670,"3311, 3312",Iron and steel mills and steel product manufacturing  ,,2670,"3311, 3312",Iron and steel mills and steel product manufacturing  
2680,3313,Aluminum production and processing  ,,2680,3313,Aluminum production and processing  ,,2680,3313,Aluminum production and processing  ,,2680,3313,Alumina and aluminum production and processing
2690,3314,Nonferrous metal (except aluminum) production and processing ,,2690,3314,Nonferrous metal (except aluminum) production and processing ,,2690,3314,Nonferrous metal (except aluminum) production and processing ,,2690,3314,Nonferrous metal (except aluminum) production and processing 
2770,3315,Foundries ,,2770,3315,Foundries ,,2770,3315,Foundries ,,2770,3315,Foundries 
2780,3321,Metal forgings and stampings ,,2780,3321,Metal forgings and stampings ,,2780,3321,Metal forgings and stampings ,,2780,3321,Forging and stamping
2790,3322,Cutlery and hand tool manufacturing  ,,2790,3322,Cutlery and hand tool manufacturing  ,,2790,3322,Cutlery and hand tool manufacturing  ,,2790,3322,Cutlery and handtool manufacturing 
2870,"3323, 3324","Structural metals, and boiler, tank, and shipping container manufacturing ",,2870,"3323, 3324","Structural metals, and boiler, tank, and shipping container manufacturing ",,2870,"3323, 3324","Structural metals, and boiler, tank, and shipping container manufacturing ",,2870,"3323, 3324","Architectural and structural metals, and boiler, tank, and shipping container manufacturing "
2880,3327,"Machine shops; turned product; screw, nut, and bolt manufacturing  ",,2880,3327,"Machine shops; turned product; screw, nut, and bolt manufacturing  ",,2880,3327,"Machine shops; turned product; screw, nut, and bolt manufacturing  ",,2880,3327,"Machine shops; turned product; screw, nut, and bolt manufacturing  "
2890,3328,"Coating, engraving, heat treating, and allied activities ",,2890,3328,"Coating, engraving, heat treating, and allied activities ",,2890,3328,"Coating, engraving, heat treating, and allied activities ",,2890,3328,"Coating, engraving, heat treating, and allied activities "
2970,"332992, 332993, 332994, 332995  ",Ordnance ,,2970,"332992, 332993, 332994",Ordnance ,,2970,"332992, 332993, 332994",Ordnance ,,2970,"332992, 332993, 332994",Ordnance 
2980,"3325, 3326, 3329 exc. 332992, 332993, 332994, 332995",Miscellaneous fabricated metal products manufacturing             ,,2980,"3325, 3326, 3329 exc. 332992, 332993, 332994",Miscellaneous fabricated metal products manufacturing             ,,2980,"3325, 3326, 3329 exc. 332992, 332993, 332994, 332996",Miscellaneous fabricated metal products manufacturing             ,,2980,"3325, 3326, 3329 exc. 332992, 332993, 332994",Miscellaneous fabricated metal product manufacturing  
2990,Part of 331 and 332,Not specified metal industries,,2990,Part of 331 and 332,Not specified metal industries,,2990,Part of 331 and 332,Not specified metal industries,,2990,Part of 331 and 332,Not specified metal industries
3070,33311,Agricultural implement manufacturing ,,3070,33311,Agricultural implement manufacturing ,,3070,33311,Agricultural implement manufacturing ,,3070,33311,Agricultural implement manufacturing 
3080,"33312, 33313","Construction, and mining and oil and gas field machinery manufacturing ",,3080,"33312, 33313","Construction, and mining and oil and gas field machinery manufacturing ",,3080,"33312, 33313","Construction, and mining and oil and gas field machinery manufacturing ",,3080,"33312, 33313","Construction, and mining and oil and gas field machinery manufacturing "
3090,3333,Commercial and service industry machinery manufacturing,,3095,3333,Commercial and service industry machinery manufacturing,,3095,3333,Commercial and service industry machinery manufacturing,,3095,3333,Commercial and service industry machinery manufacturing
,,,,,,,,,,,,,,
3170,3335,Metalworking machinery manufacturing,,3170,3335,Metalworking machinery manufacturing,,3170,3335,Metalworking machinery manufacturing,,3170,3335,Metalworking machinery manufacturing
3180,3336,"Engines, turbines, and power transmission equipment manufacturing ",,3180,3336,"Engine, turbine, and power transmission equipment manufacturing ",,3180,3336,"Engine, turbine, and power transmission equipment manufacturing ",,3180,3336,"Engine, turbine, and power transmission equipment manufacturing"
3190,"3332, 3334, 3339","Machinery manufacturing, n.e.c. ",,3190,"3332, 3334, 3339","Machinery manufacturing, n.e.c. ",,3291,"3332, 3334, 3339, Part of 333","Machinery manufacturing, n.e.c. or not specified",,3291,"3332, 3334, 3339, Part of 333","Machinery manufacturing, n.e.c. or not specified"
3290,Part of 333,Not specified machinery manufacturing,,3290,Part of 333,Not specified machinery manufacturing,,3291,"3332, 3334, 3339, Part of 333","Machinery manufacturing, n.e.c. or not specified",,,,
3360,3341,Computer and peripheral equipment manufacturing,,3365,3341,Computer and peripheral equipment manufacturing,,3365,3341,Computer and peripheral equipment manufacturing,,3365,3341,Computer and peripheral equipment manufacturing
3370,"3342, 3343","Communications, and audio and video equipment manufacturing",,3370,"3342, 3343","Communications, and audio and video equipment manufacturing",,3370,"3342, 3343","Communications, audio, and video equipment manufacturing",,3370,"3342, 3343","Communications, audio, and video equipment manufacturing"
3380,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",,3380,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",,3380,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",,3380,3345,"Navigational, measuring, electromedical, and control instruments manufacturing"
3390,"3344, 3346","Electronic component and product manufacturing, n.e.c. ",,3390,"3344, 3346","Electronic component and product manufacturing, n.e.c. ",,3390,"3344, 3346","Electronic component and product manufacturing, n.e.c. ",,3390,"3344, 3346","Semiconductor, magnetic and optical media, and other electronic component manufacturing"
3470,3352,Household appliance manufacturing ,,3470,3352,Household appliance manufacturing ,,3470,3352,Household appliance manufacturing ,,3470,3352,Household appliance manufacturing 
