gvkey,company_name,sector,sector_name,BM_ratio,BM_sector_rank,BM_sector_percentile,sector_threshold_bm,market_cap,price,eps,book_equity,dividend_yield_ttm,dlcq,dlttq,cheq,atq,cshoq,data_source
107637,NORTHERN DYNASTY MINERAL LTD,15.0,Materials,0.0652020800299057,358.0,96.75675675675676,1.880811129177013,872.50284,1.62,-0.08,56.88900000000001,0.0,3.023,0.507,11.813,132.616,538.582,Q1 Only
33728,SIGMA LITHIUM CORP,15.0,Materials,0.06355976120082554,359.0,97.02702702702702,1.880811129177013,1669.185,15.0,0.04,106.09299999999999,0.0,57.683,114.111,31.111,348.313,111.279,Q1 Only
35609,NGEX MINERALS LTD,15.0,Materials,0.06071391364253369,360.0,97.2972972972973,1.880811129177013,2701.5718500000003,13.05,-0.17,164.023,0.0,0.0,0.0,169.781,180.614,207.017,Q1 Only
171054,PLATA LATINA MINERALS CORP,15.0,Materials,0.056778642373631935,361.0,97.56756756756756,1.880811129177013,6.3228,0.08,0.0,0.359,0.0,0.0,0.0,0.364,0.374,79.035,Q1 Only
183887,MAGNA TERRA MINERALS INC,15.0,Materials,0.05025729550197204,362.0,97.83783783783784,1.880811129177013,6.864674999999999,0.075,0.0,0.34499999999999986,0.0,0.011,0.0,0.836,1.003,91.529,Q1 Only
9667,SHERWIN-WILLIAMS CO,15.0,Materials,0.04719717118012728,363.0,98.1081081081081,1.880811129177013,87507.36319,349.19,2.02,4130.0999999999985,0.008405166241874052,3469.7,10158.3,199.8,24636.1,250.601,Q1 Only
30572,TEXAS MINERAL RESOURCES CORP,15.0,Materials,0.04279772018681005,364.0,98.37837837837839,1.880811129177013,29.0202374,0.3878,0.0,1.242,0.0,0.391,0.0,1.182,1.758,74.833,Q1 Only
106689,CANTEX MINE DEVELOPMENT CORP,15.0,Materials,0.031059647001565455,365.0,98.64864864864865,1.880811129177013,14.423860000000001,0.11,0.0,0.44799999999999995,0.0,0.072,0.115,0.902,1.634,131.126,Q1 Only
189598,ALMONTY INDUSTRIES INC,15.0,Materials,0.028450756356803754,366.0,98.91891891891892,1.880811129177013,636.25725,2.25,-0.13,18.101999999999975,0.0,17.711,153.901,16.985,279.041,282.781,Q1 Only
143299,BARU GOLD CORP,15.0,Materials,0.02640910938212958,367.0,99.1891891891892,1.880811129177013,20.447490000000005,0.07,0.0,0.5400000000000009,0.0,3.071,0.0,0.051,10.096,292.107,Q1 Only
190576,ANGKOR RESOURCE CORP,15.0,Materials,0.025867149726652397,368.0,99.45945945945947,1.880811129177013,19.368195,0.105,0.0,0.5010000000000003,0.0,1.021,4.871,0.128,7.477,184.459,Q1 Only
151607,ENTREPRENEUR UNIVRS BGHT GRP,15.0,Materials,0.01347142563509311,369.0,99.72972972972973,1.880811129177013,637.942875,0.375,0.0,8.594,0.0034666666666666665,0.057,0.047,8.913,9.459,1701.181,Q1 Only
178657,EUROPEAN ELECTRIC METALS INC,15.0,Materials,0.0021122000675904045,370.0,100.0,1.880811129177013,24.145439999999997,0.48,0.0,0.051000000000000045,0.0,0.0,0.0,0.521,0.531,50.303,Q1 Only
