gsector,quarter,PE_count,PE_mean,PE_median,PE_std,PE_var,PE_min,PE_max,MB_count,MB_mean,MB_median,MB_std,MB_var,MB_min,MB_max,company_count,sector_name
45,2011Q1,962,51.64891038730036,38.231132837750486,334.74331402329693,112053.08628329974,-2773.0,5875.0,962,15.61442579748121,1.1748400867711655,392.00389421959187,153667.05308332504,-0.4494775689958896,12148.09,962,Information Technology
45,2011Q2,941,53.62507012387122,37.333333333333336,295.1904603513821,87137.40788246092,-2972.0,3240.0,941,16.82988935504628,1.124617254924135,400.68367130590116,160547.40445117556,-0.6847047195453422,12242.59,941,Information Technology
45,2011Q3,944,30.62159426216959,28.98,282.63056215475126,79880.03466391051,-4823.666666666667,2163.0,944,98.85354201397242,0.8156586320557372,2499.1815447346917,6245908.393542482,-0.6811666666666667,75508.67499999999,944,Information Technology
45,2011Q4,939,25.195789798083055,23.0,268.42558954595705,72052.29712309464,-4439.0,1888.0,939,3.989675355665724,0.8508707885433952,38.0567585141483,1448.3168686042,-0.6769184141071376,1017.9,939,Information Technology
45,2012Q1,934,44.889074953799536,15.684210526315791,315.23763693764846,99374.76774203256,-3893.3333333333335,3051.0,934,4.3859394936671485,1.0340741975849235,28.996757729293172,840.8119588113229,-0.6762546860015692,580.3292391304348,933,Information Technology
45,2012Q2,929,22.582186059801515,15.0,285.2115619428225,81345.63506586457,-4476.0,3542.3333333333335,929,2.4655097043621605,0.9648932842600138,7.593897071526741,57.66727273294242,-0.6629995640168579,146.37655172413793,929,Information Technology
45,2012Q3,898,41.381852966122,26.25934065934066,342.21161577919685,117108.78997420854,-2904.0,6020.0,898,2.453207460302522,0.9470398106036628,7.7926449894453835,60.725315931528286,-0.6616401539914288,129.2716346153846,898,Information Technology
45,2012Q4,914,42.68315050146875,16.777439024390244,262.04787859231277,68669.09067473147,-1816.0,3064.0,914,3.8000350167261523,0.9727502258849663,27.149305702053468,737.0848001035536,-0.5420835785756327,763.5,914,Information Technology
45,2013Q1,891,34.789280870423546,-1.4285714285714286,289.73726458002983,83947.6824863182,-2141.0,4267.0,891,34.282010759799164,1.0712607089305402,920.9281504565198,848108.6583032673,-0.5627094143810232,27488.666666666668,891,Information Technology
45,2013Q2,919,42.066906903392464,12.5,344.2183325337171,118486.2604522926,-2211.0,5943.333333333334,919,8.336662802451078,1.1188170699822793,155.47585746580435,24172.742254727113,-0.4768683062276874,4699.2936666666665,919,Information Technology
45,2013Q3,905,32.237706036961484,19.36842105263158,402.4582084446427,161972.6095444715,-8202.0,3346.0,905,5.641387030901197,1.2423976760995823,53.012366767726064,2810.3110303159083,-0.2376123994320871,1212.6,905,Information Technology
45,2013Q4,910,26.51823132731524,13.942307692307692,412.06947478320086,169801.2520481032,-3639.0,7227.666666666667,910,12.858429698732627,1.344767064026469,162.4564370310241,26392.0939328151,-0.3904958341800447,4109.785714285715,910,Information Technology
45,2014Q1,904,27.050607567280352,-3.6615909090909087,368.68480356505677,135928.4843798045,-3150.0,4324.25,904,9.365898503187088,1.5003428916072685,99.6179468960329,9923.735343780825,-0.3404324983352266,2586.10623556582,903,Information Technology
