gvkey,company_name,sector,sector_name,avg_MB,MB_sector_rank,MB_sector_percentile,sector_threshold_mb,market_cap,price,eps,data_source
141667,PACIFIC FINANCIAL CORP,40.0,Financials,-0.017398309555042,40.0,4.561003420752566,0.017490186569697565,109.218,10.9,0.24,Q1 Only
28022,BANCFIRST CORP/OK,40.0,Financials,-0.0168272926698178,41.0,4.67502850627138,0.017490186569697565,3652.29854,109.87,1.69,Q1 Only
109599,HERITAGE COMMERCE CORP,40.0,Financials,-0.0162519288643706,42.0,4.789053591790194,0.017490186569697565,586.53672,9.52,0.19,Q1 Only
117845,MISSION BANCORP/CA,40.0,Financials,-0.0156453283722783,43.0,4.903078677309008,0.017490186569697565,249.55562,94.03,2.7,Q1 Only
15576,DEUTSCHE BANK AG,40.0,Financials,-0.0137977022090322,44.0,5.017103762827822,0.017490186569697565,46277.85999999999,23.83,1.09,Q1 Only
176203,SUMMIT BANK GROUP INC,40.0,Financials,-0.0104369895754669,45.0,5.131128848346636,0.017490186569697565,115.785,15.0,0.38,Q1 Only
163069,KENTUCKY FIRST FEDERAL BNCRP,40.0,Financials,-0.0095964931172961,46.0,5.245153933865451,0.017490186569697565,24.099259999999997,2.98,0.0,Q1 Only
165630,SUMMIT STATE BANK,40.0,Financials,-0.0092689796428877,47.0,5.359179019384264,0.017490186569697565,62.55171000000001,9.23,0.37,Q1 Only
17245,TRUSTCO BANK CORP/NY,40.0,Financials,-0.008804607366517,48.0,5.473204104903079,0.017490186569697565,579.7296,30.48,0.75,Q1 Only
164395,OP BANCORP,40.0,Financials,-0.0077974318048238,49.0,5.587229190421892,0.017490186569697565,179.26628,12.02,0.37,Q1 Only
40855,ECB BANCORP INC,40.0,Financials,-0.0076439669437422,50.0,5.701254275940707,0.017490186569697565,137.10750000000002,15.15,0.16,Q1 Only
10916,UMB FINANCIAL CORP,40.0,Financials,-0.0068613228028027,51.0,5.815279361459521,0.017490186569697565,7675.2087,101.1,1.22,Q1 Only
187164,HOMESTREET INC,40.0,Financials,-0.0038481394109998,52.0,5.929304446978335,0.017490186569697565,222.13254,11.74,-0.24,Q1 Only
179234,SOUND FINANCIAL BANCORP INC,40.0,Financials,-0.0026273258347939,53.0,6.043329532497149,0.017490186569697565,128.6849,50.15,0.45,Q1 Only
