Item Description,Unnamed: 1,Unnamed: 2,Balancing,Mnemonic,Data Group,Field Size,Data Type,Unnamed: 8,Data Code,Data Group.1,Field Size.1,Data Type.1,Unnamed: 13,Footnote Code,Data Group.2,Field Size.2,Data Type.2
Earnings per Share - Basic  Excluding Extraordinary Items,,,Divide by Adjustment Factor,EPSPXY,co_ifndytd,"18,4",NUMBER,,EPSPXY_DC,co_ifndytd,2.0,NUMBER,,EPSPXY_FN,co_ifntytd,8.0,VARCHAR2
Earnings per Share - Basic  Including Extraordinary Items,,,Divide by Adjustment Factor,EPSPIY,co_ifndytd,"18,4",NUMBER,,EPSPIY_DC,co_ifndytd,2.0,NUMBER,,EPSPIY_FN,co_ifntytd,8.0,VARCHAR2
Earnings per Share - Diluted  Excluding Extraordinary Items,,,Divide by Adjustment Factor,EPSFXY,co_ifndytd,"18,4",NUMBER,,EPSFXY_DC,co_ifndytd,2.0,NUMBER,,EPSFXY_FN,co_ifntytd,8.0,VARCHAR2
Earnings per Share - Diluted  Including Extraordinary Items,,,Divide by Adjustment Factor,EPSFIY,co_ifndytd,"18,4",NUMBER,,EPSFIY_DC,co_ifndytd,2.0,NUMBER,,EPSFIY_FN,co_ifntytd,8.0,VARCHAR2
Earnings per Share from Operations - Basic,,,Divide by Adjustment Factor,OPEPSY,co_ifndytd,"18,4",NUMBER,,OPEPSY_DC,co_ifndytd,2.0,NUMBER,,OPEPSY_FN,co_ifntytd,8.0,VARCHAR2
Earnings per Share from Operations - Diluted,,,Divide by Adjustment Factor,OEPSXY,co_ifndytd,"18,4",NUMBER,,OEPSXY_DC,co_ifndytd,2.0,NUMBER,,OEPSXY_FN,co_ifntytd,8.0,VARCHAR2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Dilution Adjustment,,,DILADY,co_ifndytd,"18,4",NUMBER,,DILADY_DC,co_ifndytd,2.0,NUMBER,,DILADY_FN,co_ifntytd,8.0,VARCHAR2
,Dilution Adjustment - Excluding,,,DILAVY,co_ifndytd,"18,4",NUMBER,,DILAVY_DC,co_ifndytd,2.0,NUMBER,,DILAVY_FN,co_ifntytd,8.0,VARCHAR2
,,,,,,,,,,,,,,,,,
Common Shares Used to Calculate EPS Basic,,,Multiply by Adjustment Factor,CSHPRY,co_ifndytd,"18,4",NUMBER,,CSHPRY_DC,co_ifndytd,2.0,NUMBER,,CSHPRY_FN,co_ifntytd,8.0,VARCHAR2
Common Shares Used to Calculate EPS Diluted,,,Multiply by Adjustment Factor,CSHFDY,co_ifndytd,"18,4",NUMBER,,CSHFDY_DC,co_ifndytd,2.0,NUMBER,,CSHFDY_FN,co_ifntytd,8.0,VARCHAR2
,,,,,,,,,,,,,,,,,
SPECIAL ITEMS - BREAKOUT,,,,,,,,,,,,,,,,,
Acquisition/Merger Pretax,,,,AQPY,co_ifndytd,"18,4",NUMBER,,AQPY_DC,co_ifndytd,2.0,NUMBER,,AQPY_FN,co_ifntytd,8.0,VARCHAR2
Acquisition/Merger After-tax,,,,AQAY,co_ifndytd,"18,4",NUMBER,,AQAY_DC,co_ifndytd,2.0,NUMBER,,AQAY_FN,co_ifntytd,8.0,VARCHAR2
Acquisition/Merger Basic EPS Effect,,,Divide by Adjustment Factor,AQEPSY,co_ifndytd,"18,4",NUMBER,,AQEPSY_DC,co_ifndytd,2.0,NUMBER,,AQEPSY_FN,co_ifntytd,8.0,VARCHAR2
Acquisition/Merger Diluted EPS Effect,,,Divide by Adjustment Factor,AQDY,co_ifndytd,"18,4",NUMBER,,AQDY_DC,co_ifndytd,2.0,NUMBER,,AQDY_FN,co_ifntytd,8.0,VARCHAR2
Gain/Loss on Sale of Assets Pretax,,,,GLPY,co_ifndytd,"18,4",NUMBER,,GLPY_DC,co_ifndytd,2.0,NUMBER,,GLPY_FN,co_ifntytd,8.0,VARCHAR2
Gain/Loss on Sale of Assets After-tax,,,,GLAY,co_ifndytd,"18,4",NUMBER,,GLAY_DC,co_ifndytd,2.0,NUMBER,,GLAY_FN,co_ifntytd,8.0,VARCHAR2
Gain/Loss on Sale of Assets Basic EPS Effect,,,Divide by Adjustment Factor,GLEPSY,co_ifndytd,"18,4",NUMBER,,GLEPSY_DC,co_ifndytd,2.0,NUMBER,,GLEPSY_FN,co_ifntytd,8.0,VARCHAR2
Gain/Loss on Sale of Assets Diluted EPS Effect,,,Divide by Adjustment Factor,GLDY,co_ifndytd,"18,4",NUMBER,,GLDY_DC,co_ifndytd,2.0,NUMBER,,GLDY_FN,co_ifntytd,8.0,VARCHAR2
Impairment of Goodwill Pretax,,,,GDWLIPY,co_ifndytd,"18,4",NUMBER,,GDWLIPY_DC,co_ifndytd,2.0,NUMBER,,GDWLIPY_FN,co_ifntytd,8.0,VARCHAR2
Impairment of Goodwill After-tax,,,,GDWLIAY,co_ifndytd,"18,4",NUMBER,,GDWLIAY_DC,co_ifndytd,2.0,NUMBER,,GDWLIAY_FN,co_ifntytd,8.0,VARCHAR2
Impairment of Goodwill Basic EPS Effect,,,Divide by Adjustment Factor,GDWLIEPSY,co_ifndytd,"18,4",NUMBER,,GDWLIEPSY_DC,co_ifndytd,2.0,NUMBER,,GDWLIEPSY_FN,co_ifntytd,8.0,VARCHAR2
