Item Description,Unnamed: 1,Unnamed: 2,Balancing,Mnemonic,Data Group,Field Size,Data Type,Unnamed: 8,Data Code,Data Group.1,Field Size.1,Data Type.1,Unnamed: 13,Footnote Code,Data Group.2,Field Size.2,Data Type.2
,Income Taxes - Deferred,,TXDFED + TXDS + TXDFO,TXDI,co_afnd2,"18,4",NUMBER,,TXDI_DC,co_afnddc2,2,NUMBER,,TXDI_FN,co_afntind,8,VARCHAR2
,,Deferred Taxes-Federal,,TXDFED,co_afnd2,"18,4",NUMBER,,TXDFED_DC,co_afnddc2,2,NUMBER,,TXDFED_FN,co_afntind,8,VARCHAR2
,,Deferred Taxes-State,,TXDS,co_afnd2,"18,4",NUMBER,,TXDS_DC,co_afnddc2,2,NUMBER,,TXDS_FN,co_afntind,8,VARCHAR2
,,Deferred Taxes-Foreign,,TXDFO,co_afnd2,"18,4",NUMBER,,TXDFO_DC,co_afnddc2,2,NUMBER,,TXDFO_FN,co_afntind,8,VARCHAR2
Income Before Extraordinary Items and Noncontrolling Interest,,,PI - TXT,IBMII,co_afnd1,"18,4",NUMBER,,IBMII_DC,co_afnddc1,2,NUMBER,,IBMII_FN,co_afntind,8,VARCHAR2
Noncontrolling Interest - Income Account,,,,MII,co_afnd2,"18,4",NUMBER,,MII_DC,co_afnddc2,2,NUMBER,,MII_FN,co_afntind,8,VARCHAR2
Income Before Extraordinary Items,,,IBMII - MII,IB,co_afnd1,"18,4",NUMBER,,IB_DC,co_afnddc1,2,NUMBER,,IB_FN,co_afntind,8,VARCHAR2
Dividends - Preferred/Preference,,,,DVP,co_afnd1,"18,4",NUMBER,,DVP_DC,co_afnddc1,2,NUMBER,,DVP_FN,co_afntind,8,VARCHAR2
,,,,,,,,,,,,,,,,,
Income Before Extraordinary Items - Available for Common,,,IB - DVP,IBCOM,co_afnd1,"18,4",NUMBER,,IBCOM_DC,co_afnddc1,2,NUMBER,,IBCOM_FN,co_afntind,8,VARCHAR2
Common Stock Equivalents - Dollar Savings,,,,CSTKE,co_afnd1,"18,4",NUMBER,,CSTKE_DC,co_afnddc1,2,NUMBER,,CSTKE_FN,co_afntind,8,VARCHAR2
