Item Description,Unnamed: 1,Unnamed: 2,Balancing,Mnemonic,Data Group,Field Size,Data Type,Unnamed: 8,Data Code,Data Group.1,Field Size.1,Data Type.1,Unnamed: 13,Footnote Code,Data Group.2,Field Size.2,Data Type.2
Earnings per Share - Basic  Excluding Extraordinary Items,,,Divide by Adjustment Factor,EPSPXSA,co_ifndsa,"18,4",NUMBER,,EPSPXSA_DC,co_ifndsa,2.0,NUMBER,,EPSPXSA_FN,co_ifntsa,8.0,VARCHAR2
Earnings per Share - Basic  Including Extraordinary Items,,,Divide by Adjustment Factor,EPSPISA,co_ifndsa,"18,4",NUMBER,,EPSPISA_DC,co_ifndsa,2.0,NUMBER,,EPSPISA_FN,co_ifntsa,8.0,VARCHAR2
Earnings per Share - Diluted  Excluding Extraordinary Items,,,Divide by Adjustment Factor,EPSFXSA,co_ifndsa,"18,4",NUMBER,,EPSFXSA_DC,co_ifndsa,2.0,NUMBER,,EPSFXSA_FN,co_ifntsa,8.0,VARCHAR2
Earnings per Share - Diluted  Including Extraordinary Items,,,Divide by Adjustment Factor,EPSFISA,co_ifndsa,"18,4",NUMBER,,EPSFISA_DC,co_ifndsa,2.0,NUMBER,,EPSFISA_FN,co_ifntsa,8.0,VARCHAR2
Earnings per Share from Operations - Basic,,,Divide by Adjustment Factor,OPEPSSA,co_ifndsa,"18,4",NUMBER,,OPEPSSA_DC,co_ifndsa,2.0,NUMBER,,OPEPSSA_FN,co_ifntsa,8.0,VARCHAR2
Earnings per Share from Operations - Diluted,,,Divide by Adjustment Factor,OEPSXSA,co_ifndsa,"18,4",NUMBER,,OEPSXSA_DC,co_ifndsa,2.0,NUMBER,,OEPSXSA_FN,co_ifntsa,8.0,VARCHAR2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Dilution Adjustment,,,DILADSA,co_ifndsa,"18,4",NUMBER,,DILADSA_DC,co_ifndsa,2.0,NUMBER,,DILADSA_FN,co_ifntsa,8.0,VARCHAR2
,Dilution Adjustment - Excluding,,,DILAVSA,co_ifndsa,"18,4",NUMBER,,DILAVSA_DC,co_ifndsa,2.0,NUMBER,,DILAVSA_FN,co_ifntsa,8.0,VARCHAR2
,,,,,,,,,,,,,,,,,
Common Shares Used to Calculate EPS Basic,,,Multiply by Adjustment Factor,CSHPRSA,co_ifndsa,"18,4",NUMBER,,CSHPRSA_DC,co_ifndsa,2.0,NUMBER,,CSHPRSA_FN,co_ifntsa,8.0,VARCHAR2
Common Shares Used to Calculate EPS Diluted,,,Multiply by Adjustment Factor,CSHFDSA,co_ifndsa,"18,4",NUMBER,,CSHFDSA_DC,co_ifndsa,2.0,NUMBER,,CSHFDSA_FN,co_ifntsa,8.0,VARCHAR2
,,,,,,,,,,,,,,,,,
SPECIAL ITEMS - BREAKOUT,,,,,,,,,,,,,,,,,
Acquisition/Merger Pretax,,,,AQPSA,co_ifndsa,"18,4",NUMBER,,AQPSA_DC,co_ifndsa,2.0,NUMBER,,AQPSA_FN,co_ifntsa,8.0,VARCHAR2
Acquisition/Merger After-tax,,,,AQASA,co_ifndsa,"18,4",NUMBER,,AQASA_DC,co_ifndsa,2.0,NUMBER,,AQASA_FN,co_ifntsa,8.0,VARCHAR2
Acquisition/Merger Basic EPS Effect,,,Divide by Adjustment Factor,AQEPSSA,co_ifndsa,"18,4",NUMBER,,AQEPSSA_DC,co_ifndsa,2.0,NUMBER,,AQEPSSA_FN,co_ifntsa,8.0,VARCHAR2
Acquisition/Merger Diluted EPS Effect,,,Divide by Adjustment Factor,AQDSA,co_ifndsa,"18,4",NUMBER,,AQDSA_DC,co_ifndsa,2.0,NUMBER,,AQDSA_FN,co_ifntsa,8.0,VARCHAR2
Gain/Loss on Sale of Assets Pretax,,,,GLPSA,co_ifndsa,"18,4",NUMBER,,GLPSA_DC,co_ifndsa,2.0,NUMBER,,GLPSA_FN,co_ifntsa,8.0,VARCHAR2
Gain/Loss on Sale of Assets After-tax,,,,GLASA,co_ifndsa,"18,4",NUMBER,,GLASA_DC,co_ifndsa,2.0,NUMBER,,GLASA_FN,co_ifntsa,8.0,VARCHAR2
